Type,Spatial_Frequency,filepath,file_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,whole_image.started,image.started,forehead.started,eyes.started,nose.started,mouth.started,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c67.jpeg,matched-32-cpi-low-c67.jpeg,0,0,0,37,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,15.690026400000079,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c74.jpeg,matched-8-cpi-low-c74.jpeg,0,1,1,26,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,16.682927100000143,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,2,2,29,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,17.698361400000067,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,3,3,6,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,18.681673199999977,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,4,4,30,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,19.698294900000064,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,5,5,1,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,20.69896300000005,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c71.jpeg,matched-32-cpi-low-c71.jpeg,0,6,6,39,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,21.714869800000088,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,7,7,28,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,22.698478000000023,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c77.jpeg,matched-c77.jpeg,0,8,8,13,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,23.698396400000092,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c48.jpeg,matched-c48.jpeg,0,9,9,0,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,24.714934699999958,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c64.jpeg,matched-32-cpi-low-c64.jpeg,0,10,10,34,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,25.698470400000133,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c74.jpeg,matched-c74.jpeg,0,11,11,11,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,26.71481370000015,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,12,12,2,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,27.68165850000014,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c69.jpeg,matched-8-cpi-low-c69.jpeg,0,13,13,23,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,28.698455200000126,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,14,14,18,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,29.714966700000105,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,15,15,4,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,30.69809669999995,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c64.jpeg,matched-8-cpi-low-c64.jpeg,0,16,16,19,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,31.714663299999984,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c79.jpeg,matched-c79.jpeg,0,17,17,14,32.68148680000013,32.68148680000013,32.68148680000013,32.68148680000013,32.68148680000013,32.68148680000013,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c71.jpeg,matched-c71.jpeg,0,18,18,9,33.69822709999994,33.69822709999994,33.69822709999994,33.69822709999994,33.69822709999994,33.69822709999994,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c65.jpeg,matched-c65.jpeg,0,19,19,5,34.71487079999997,34.71487079999997,34.71487079999997,34.71487079999997,34.71487079999997,34.71487079999997,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,20,20,44,35.6813403000001,35.6813403000001,35.6813403000001,35.6813403000001,35.6813403000001,35.6813403000001,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c76.jpeg,matched-c76.jpeg,0,21,21,12,36.714518,36.714518,36.714518,36.714518,36.714518,36.714518,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c71.jpeg,matched-8-cpi-low-c71.jpeg,0,22,22,24,37.681271800000104,37.681271800000104,37.681271800000104,37.681271800000104,37.681271800000104,37.681271800000104,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c67.jpeg,matched-c67.jpeg,0,23,23,7,38.69800970000006,38.69800970000006,38.69800970000006,38.69800970000006,38.69800970000006,38.69800970000006,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c66.jpeg,matched-32-cpi-low-c66.jpeg,0,24,24,36,39.717394600000034,39.717394600000034,39.717394600000034,39.717394600000034,39.717394600000034,39.717394600000034,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c72.jpeg,matched-32-cpi-low-c72.jpeg,0,25,25,40,40.681259700000055,40.681259700000055,40.681259700000055,40.681259700000055,40.681259700000055,40.681259700000055,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c69.jpeg,matched-c69.jpeg,0,26,26,8,41.69852220000007,41.69852220000007,41.69852220000007,41.69852220000007,41.69852220000007,41.69852220000007,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c48.jpeg,matched-8-cpi-low-c48.jpeg,0,27,27,15,42.71444629999996,42.71444629999996,42.71444629999996,42.71444629999996,42.71444629999996,42.71444629999996,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c61.jpeg,matched-32-cpi-low-c61.jpeg,0,28,28,32,43.68129550000003,43.68129550000003,43.68129550000003,43.68129550000003,43.68129550000003,43.68129550000003,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,29,29,31,44.69786700000009,44.69786700000009,44.69786700000009,44.69786700000009,44.69786700000009,44.69786700000009,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,30,30,16,45.69799469999998,45.69799469999998,45.69799469999998,45.69799469999998,45.69799469999998,45.69799469999998,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c76.jpeg,matched-8-cpi-low-c76.jpeg,0,31,31,27,46.71449180000013,46.71449180000013,46.71449180000013,46.71449180000013,46.71449180000013,46.71449180000013,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c66.jpeg,matched-8-cpi-low-c66.jpeg,0,32,32,21,47.73111740000013,47.73111740000013,47.73111740000013,47.73111740000013,47.73111740000013,47.73111740000013,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c61.jpeg,matched-8-cpi-low-c61.jpeg,0,33,33,17,48.69791680000003,48.69791680000003,48.69791680000003,48.69791680000003,48.69791680000003,48.69791680000003,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c67.jpeg,matched-8-cpi-low-c67.jpeg,0,34,34,22,49.73196600000006,49.73196600000006,49.73196600000006,49.73196600000006,49.73196600000006,49.73196600000006,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,35,35,41,50.699783000000025,50.699783000000025,50.699783000000025,50.699783000000025,50.699783000000025,50.699783000000025,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c76.jpeg,matched-32-cpi-low-c76.jpeg,0,36,36,42,51.71435130000009,51.71435130000009,51.71435130000009,51.71435130000009,51.71435130000009,51.71435130000009,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c63.jpeg,matched-32-cpi-low-c63.jpeg,0,37,37,33,52.714471799999956,52.714471799999956,52.714471799999956,52.714471799999956,52.714471799999956,52.714471799999956,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c77.jpeg,matched-32-cpi-low-c77.jpeg,0,38,38,43,53.714513000000125,53.714513000000125,53.714513000000125,53.714513000000125,53.714513000000125,53.714513000000125,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c72.jpeg,matched-8-cpi-low-c72.jpeg,0,39,39,25,54.69759629999999,54.69759629999999,54.69759629999999,54.69759629999999,54.69759629999999,54.69759629999999,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,40,40,35,55.71447330000001,55.71447330000001,55.71447330000001,55.71447330000001,55.71447330000001,55.71447330000001,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c65.jpeg,matched-8-cpi-low-c65.jpeg,0,41,41,20,56.68094670000005,56.68094670000005,56.68094670000005,56.68094670000005,56.68094670000005,56.68094670000005,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,42,42,3,57.6810531000001,57.6810531000001,57.6810531000001,57.6810531000001,57.6810531000001,57.6810531000001,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c69.jpeg,matched-32-cpi-low-c69.jpeg,0,43,43,38,58.66445930000009,58.66445930000009,58.66445930000009,58.66445930000009,58.66445930000009,58.66445930000009,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c72.jpeg,matched-c72.jpeg,0,44,44,10,59.69739130000016,59.69739130000016,59.69739130000016,59.69739130000016,59.69739130000016,59.69739130000016,423624,001,2023-04-10_23h05.31.811,trial_experiment,2022.2.5,60.015904214651776,
