Type,Spatial_Frequency,filepath,file_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,whole_image.started,image.started,eyes.started,mouth.started,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c36.jpeg,matched-32-cpi-low-c36.jpeg,0,0,0,40,17.17283909999992,17.17283909999992,17.17283909999992,17.17283909999992,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c36.jpeg,matched-c36.jpeg,0,1,1,10,18.180919299999914,18.180919299999914,18.180919299999914,18.180919299999914,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c42.jpeg,matched-32-cpi-low-c42.jpeg,0,2,2,44,19.166021499999943,19.166021499999943,19.166021499999943,19.166021499999943,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,3,3,6,20.16430330000003,20.16430330000003,20.16430330000003,20.16430330000003,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c37.jpeg,matched-8-cpi-low-c37.jpeg,0,4,4,26,21.197611699999925,21.197611699999925,21.197611699999925,21.197611699999925,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,5,5,15,22.16431209999996,22.16431209999996,22.16431209999996,22.16431209999996,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c33.jpeg,matched-32-cpi-low-c33.jpeg,0,6,6,38,23.164146399999936,23.164146399999936,23.164146399999936,23.164146399999936,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,7,7,25,24.16405860000009,24.16405860000009,24.16405860000009,24.16405860000009,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg,0,8,8,42,25.18103719999999,25.18103719999999,25.18103719999999,25.18103719999999,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,9,9,1,26.214467499999955,26.214467499999955,26.214467499999955,26.214467499999955,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,10,10,30,27.180885799999942,27.180885799999942,27.180885799999942,27.180885799999942,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,11,11,7,28.180851000000075,28.180851000000075,28.180851000000075,28.180851000000075,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg,0,12,12,34,29.16660200000001,29.16660200000001,29.16660200000001,29.16660200000001,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c17.jpeg,matched-8-cpi-low-c17.jpeg,0,13,13,20,30.164043199999924,30.164043199999924,30.164043199999924,30.164043199999924,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c12.jpeg,matched-c12.jpeg,0,14,14,2,31.16396860000009,31.16396860000009,31.16396860000009,31.16396860000009,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,15,15,14,32.18080400000008,32.18080400000008,32.18080400000008,32.18080400000008,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c37.jpeg,matched-32-cpi-low-c37.jpeg,0,16,16,41,33.19764639999994,33.19764639999994,33.19764639999994,33.19764639999994,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c33.jpeg,matched-c33.jpeg,0,17,17,8,34.1809631000001,34.1809631000001,34.1809631000001,34.1809631000001,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c41.jpeg,matched-32-cpi-low-c41.jpeg,0,18,18,43,35.331230600000026,35.331230600000026,35.331230600000026,35.331230600000026,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c35.jpeg,matched-32-cpi-low-c35.jpeg,0,19,19,39,36.78067379999993,36.78067379999993,36.78067379999993,36.78067379999993,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c17.jpeg,matched-c17.jpeg,0,20,20,5,37.21426240000005,37.21426240000005,37.21426240000005,37.21426240000005,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,21,21,27,38.16386570000009,38.16386570000009,38.16386570000009,38.16386570000009,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c12.jpeg,matched-8-cpi-low-c12.jpeg,0,22,22,17,39.163843999999926,39.163843999999926,39.163843999999926,39.163843999999926,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,23,23,11,40.19726349999996,40.19726349999996,40.19726349999996,40.19726349999996,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c43.jpeg,matched-32-cpi-low-c43.jpeg,0,24,24,36,41.19797659999995,41.19797659999995,41.19797659999995,41.19797659999995,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,25,25,24,42.19718499999999,42.19718499999999,42.19718499999999,42.19718499999999,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c33.jpeg,matched-8-cpi-low-c33.jpeg,0,26,26,23,43.197440500000084,43.197440500000084,43.197440500000084,43.197440500000084,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c16.jpeg,matched-c16.jpeg,0,27,27,4,44.19710680000003,44.19710680000003,44.19710680000003,44.19710680000003,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c12.jpeg,matched-32-cpi-low-c12.jpeg,0,28,28,32,45.247303099999954,45.247303099999954,45.247303099999954,45.247303099999954,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,29,29,28,46.19714879999992,46.19714879999992,46.19714879999992,46.19714879999992,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c43.jpeg,matched-8-cpi-low-c43.jpeg,0,30,30,21,47.19711009999992,47.19711009999992,47.19711009999992,47.19711009999992,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c14.jpeg,matched-8-cpi-low-c14.jpeg,0,31,31,18,48.16375949999997,48.16375949999997,48.16375949999997,48.16375949999997,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,32,32,16,49.197207599999956,49.197207599999956,49.197207599999956,49.197207599999956,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,33,33,3,50.1971767,50.1971767,50.1971767,50.1971767,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c16.jpeg,matched-8-cpi-low-c16.jpeg,0,34,34,19,51.21384790000002,51.21384790000002,51.21384790000002,51.21384790000002,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c27.jpeg,matched-8-cpi-low-c27.jpeg,0,35,35,22,52.180671200000006,52.180671200000006,52.180671200000006,52.180671200000006,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c14.jpeg,matched-32-cpi-low-c14.jpeg,0,36,36,33,53.18052680000005,53.18052680000005,53.18052680000005,53.18052680000005,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,37,37,37,54.230239799999936,54.230239799999936,54.230239799999936,54.230239799999936,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,38,38,35,55.196863899999926,55.196863899999926,55.196863899999926,55.196863899999926,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c41.jpeg,matched-c41.jpeg,0,39,39,13,56.163573099999894,56.163573099999894,56.163573099999894,56.163573099999894,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,40,40,0,57.23251129999994,57.23251129999994,57.23251129999994,57.23251129999994,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c38.jpeg,matched-c38.jpeg,0,41,41,12,58.18096719999994,58.18096719999994,58.18096719999994,58.18096719999994,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c35.jpeg,matched-c35.jpeg,0,42,42,9,59.1828617000001,59.1828617000001,59.1828617000001,59.1828617000001,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c42.jpeg,matched-8-cpi-low-c42.jpeg,0,43,43,29,60.19666940000002,60.19666940000002,60.19666940000002,60.19666940000002,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c11.jpeg,matched-32-cpi-low-c11.jpeg,0,44,44,31,61.19687920000001,61.19687920000001,61.19687920000001,61.19687920000001,239506,001,2023-04-10_23h10.00.604,trial_experiment,2022.2.5,59.85314432513346,
