Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,Human_image.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.started,ratingText.started,image.started,mouse.started,Likebility_slider_3.response,Likebility_slider_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,47.94421479999437,47.94421479999437,space,2.1228474999952596,,,,,,,,,,,,,,,,,,,,,,,,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_22_Caucasian_female_neutral_frontal.jpg,0,0,0,35,,,,,1.5099998563528061e-05,1.5099998563528061e-05,51.09070339999744,51.09070339999744,52.09016910000355,52.09016910000355,1,[0.0006155000010039657],[0.9907516999955988],52.09016910000355,52.09016910000355,53.18907059999765,1.0962787000025855,25.37037037037038,1.080770799992024,[0.5777777777777777],[-0.45555555555555555],[1],[0],[0],[0.8669509000028484],['image'],1.3600001693703234e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,1,1,34,,,,,,,55.54135790000146,55.54135790000146,56.541727699994226,56.541727699994226,1,[0.0004194999928586185],[0.9970259999972768],56.541727699994226,56.541727699994226,58.055595899990294,1.4979507999960333,27.592592592592595,1.4952926999976626,[0.4777777777777778],[-0.38055555555555554],[1],[0],[0],[0.41703459998825565],['image'],1.3600001693703234e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,2,2,44,,,,,,,59.957741099991836,59.957741099991836,60.957702500003506,60.957702500003506,1,[0.00040889999945648015],[0.996822200002498],60.957702500003506,60.957702500003506,61.7705866000033,0.7965437999955611,-17.777777777777786,0.7968603999906918,[0.575925925925926],[-0.4425925925925926],[1],[0],[0],[0.4834536999987904],['image'],1.3199998647905886e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,3,3,11,,,,,,,63.741211200002,63.741211200002,64.7409547999996,64.7409547999996,1,[0.00036530000215861946],[0.9965871000022162],64.7409547999996,64.7409547999996,65.50601469998946,0.7484460999985458,-24.259259259259252,0.7472951999952784,[0.5009259259259259],[-0.412962962962963],[1],[0],[0],[0.5011945000005653],['image'],1.3299999409355223e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,4,4,21,,,,,,,67.4909301000007,67.4909301000007,68.49064029999136,68.49064029999136,1,[0.0003819999983534217],[0.9965195000113454],68.49064029999136,68.49064029999136,69.1388137999893,0.6320992999972077,-15.925925925925924,0.6289583999896422,[0.46296296296296297],[-0.40555555555555556],[1],[0],[0],[0.48379089999070857],['image'],1.2400007108226418e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,5,5,42,,,,,,,71.10750640000333,71.10750640000333,72.10768099999405,72.10768099999405,1,[0.00034729999606497586],[0.9967015000001993],72.10768099999405,72.10768099999405,72.92193909999332,0.7965418999956455,4.8148148148148096,0.7955048000003444,[0.5324074074074074],[-0.44351851851851853],[1],[0],[0],[0.6167770000029122],['image'],1.3999990187585354e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,6,6,36,,,,,,,75.02426049999485,75.02426049999485,76.02402489999076,76.02402489999076,1,[0.00038130000757519156],[0.9971439000073588],76.02402489999076,76.02402489999076,76.65522210000199,0.6150735999981407,-45.74074074074075,0.6136975999979768,[0.6277777777777778],[-0.39814814814814814],[1],[0],[0],[0.4022028999897884],['image'],1.3699987903237343e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,7,7,22,,,,,,,78.54072639999504,78.54072639999504,79.55353569998988,79.55353569998988,1,[0.0004310000076657161],[1.010979300001054],79.55353569998988,79.55353569998988,80.17184929999348,0.6130090999940876,-74.25925925925927,0.5997105999995256,[0.4898148148148148],[-0.4351851851851852],[1],[0],[0],[0.5350246000016341],['image'],1.750000228639692e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,8,8,25,,,,,,,82.18697670000256,82.18697670000256,83.18849639999098,83.18849639999098,1,[0.0003615000023273751],[0.9945128000108525],83.20355669999844,83.20355669999844,83.75519270000223,0.5481887999922037,-49.629629629629626,0.5474936999962665,[0.49537037037037035],[-0.3925925925925926],[1],[0],[0],[0.5817788000131259],['image'],1.2999997125007212e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,9,9,29,,,,,,,85.82392229999823,85.82392229999823,86.82025710000016,86.82025710000016,1,[0.00039570000080857426],[0.9962579999992158],86.82025710000016,86.82025710000016,87.52180649999355,0.6819374999904539,12.037037037037052,1.0793923000019277,"[0.06018518518518518, 0.4722222222222222]","[-0.1259259259259259, -0.44907407407407407]","[1, 1]","[0, 0]","[0, 0]","[0.2849858999979915, 0.7174755000014557]",['image'],1.3600001693703234e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_32_Caucasian_female_neutral_frontal.jpg,0,10,10,41,,,,,,,89.72373699999298,89.72373699999298,90.72374129999662,90.72374129999662,1,[0.00045349998981691897],[0.9964649000030477],90.72374129999662,90.72374129999662,91.40309239999624,0.6641798999917228,-6.296296296296305,0.6634250999923097,[0.40370370370370373],[-0.4046296296296296],[1],[0],[0],[0.31872150000708643],['image'],1.4999997802078724e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,11,11,14,,,,,,,93.20708059999743,93.20708059999743,94.2071428999916,94.2071428999916,1,[0.0003352999920025468],[0.9970149000000674],94.2071428999916,94.2071428999916,94.87151529999392,0.6466343000065535,-37.77777777777778,0.9974838999914937,"[-0.18888888888888888, 0.5472222222222223]","[-0.09722222222222222, -0.41944444444444445]","[1, 1]","[0, 0]","[0, 0]","[0.28537270000379067, 0.7855847000028007]",['image'],1.410000550094992e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,12,12,40,,,,,,,97.14034649998939,97.14034649998939,98.14028510000207,98.14028510000207,1,[0.00038080000376794487],[0.9966538000007858],98.14028510000207,98.14028510000207,98.80480769999849,0.6480049999954645,-28.51851851851852,0.6474853999970946,[0.5851851851851851],[-0.41944444444444445],[1],[0],[0],[0.2336838000046555],['image'],1.2999997125007212e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,13,13,31,,,,,,,100.52358320000349,100.52358320000349,101.53807629999937,101.53807629999937,1,[0.00039990000368561596],[1.0124031000013929],101.53807629999937,101.53807629999937,102.08795770000143,0.546786200007773,5.185185185185176,0.5322454000124708,"[0.4027777777777778, 0.4546296296296296]","[-0.33055555555555555, -0.42777777777777776]","[1, 1]","[0, 0]","[0, 0]","[0.21664939999755006, 0.551997599992319]",['image'],1.650000922381878e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,14,14,13,,,,,,,104.12416399999347,104.12416399999347,105.11928909999551,105.11928909999551,1,[0.0004592000041157007],[0.9968765000085114],105.11928909999551,105.11928909999551,106.12125359999482,0.9798520000040298,-80.18518518518519,1.3458157999994,"[-0.4009259259259259, 0.7388888888888889, 0.5203703703703704]","[-0.12962962962962962, -0.4925925925925926, -0.4305555555555556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.25202279999211896, 0.718585599999642, 0.9851420000049984]",['image'],1.3500000932253897e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_33_Caucasian_male_neutral_frontal.jpg,0,15,15,12,,,,,,,108.59018420000211,108.59018420000211,109.5902056999912,109.5902056999912,1,[0.000458099995739758],[0.9966164999932516],109.5902056999912,109.5902056999912,110.20284640000318,0.5983735999907367,-40.0,0.5972402999905171,[0.48148148148148145],[-0.39166666666666666],[1],[0],[0],[0.31690900000103284],['image'],1.309999788645655e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,16,16,15,,,,,,,112.0074001999892,112.0074001999892,,,1,[0.00045390000741463155],[0.9965049000020372],113.02304689999437,113.02304689999437,113.60440029999882,0.5818568999966374,-9.074074074074076,1.4982406000053743,"[-0.04537037037037037, 0.47685185185185186]","[-0.11944444444444445, -0.4527777777777778]","[1, 1]","[0, 0]","[0, 0]","[0.8354153000109363, 1.4690100000007078]",['image'],1.2799995602108538e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_36_Caucasian_male_neutral_frontal.jpg,0,17,17,28,,,,,,,116.57336029999715,116.57336029999715,117.56953310000245,117.56953310000245,1,[0.013314600000740029],[1.0134619000018574],117.56953310000245,117.56953310000245,118.0043835999968,0.4279614999977639,-31.29629629629629,0.4130411000078311,"[0.6805555555555556, 0.49166666666666664]","[-0.4527777777777778, -0.42407407407407405]","[1, 1]","[0, 0]","[0, 0]","[0.3504856000072323, 0.6687551000068197]",['image'],1.309999788645655e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_26_Caucasian_female_neutral_frontal.jpg,0,18,18,7,,,,,,,120.17327820000355,120.17327820000355,,,1,[0.0165438000112772],[0.9998781000031158],121.1736275000003,121.1736275000003,121.60429319999821,0.4313912999932654,-30.370370370370367,0.41439949999039527,"[0.5407407407407407, 0.5231481481481481]","[-0.35462962962962963, -0.40185185185185185]","[1, 1]","[0, 0]","[0, 0]","[0.3002483000018401, 0.6002901000028942]",['image'],1.309999788645655e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_30_Caucasian_male_neutral_frontal.jpg,0,19,19,9,,,,,,,123.68987069999275,123.68987069999275,124.69027609999466,124.69027609999466,1,[0.0003743000124813989],[0.9967589000007138],124.69027609999466,124.69027609999466,125.13583780000044,0.43138389999512583,-26.111111111111114,0.42958809999981895,[0.5453703703703704],[-0.4666666666666667],[1],[0],[0],[0.48378799999773037],['image'],1.3700002455152571e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,20,20,32,,,,,,,127.10637519999,127.10637519999,128.10614859999623,128.10614859999623,1,[0.00041190000774804503],[0.9965192999952706],128.10614859999623,128.10614859999623,128.72078479999618,0.5978286000026856,30.18518518518519,0.5966319999861298,[0.5796296296296296],[-0.4305555555555556],[1],[0],[0],[0.48375669999222737],['image'],1.440000778529793e-05,,,UTS,001,2023-04-16_22h16.49.822,Human_uncanny,2022.2.5,60.0997656114557,
